state,state_string,value,mo,sc,ua,pd,ad
,Unconscious,-0.454256221639002,,,,,
13331,13331,0.748395286647057,1,3,3,3,1
13332,13332,0.687375818610943,1,3,3,3,2
13333,13333,0.635114355423482,1,3,3,3,3
13334,13334,0.40276759847883,1,3,3,3,4
13335,13335,0.309690046812691,1,3,3,3,5
13341,13341,0.492980257796307,1,3,3,4,1
13342,13342,0.431960789760192,1,3,3,4,2
13343,13343,0.379699326572731,1,3,3,4,3
13344,13344,0.147352569628079,1,3,3,4,4
13345,13345,0.0542750179619402,1,3,3,4,5
13351,13351,0.390661611920706,1,3,3,5,1
13352,13352,0.329642143884592,1,3,3,5,2
13353,13353,0.277380680697131,1,3,3,5,3
13354,13354,0.0450339237524786,1,3,3,5,4
13355,13355,-0.0480436279136602,1,3,3,5,5
13411,13411,0.777194345850307,1,3,4,1,1
13412,13412,0.716174877814193,1,3,4,1,2
13413,13413,0.663913414626732,1,3,4,1,3
13414,13414,0.43156665768208,1,3,4,1,4
13415,13415,0.338489106015941,1,3,4,1,5
13421,13421,0.7101166323765,1,3,4,2,1
13422,13422,0.649097164340386,1,3,4,2,2
13423,13423,0.596835701152925,1,3,4,2,3
13424,13424,0.364488944208273,1,3,4,2,4
13425,13425,0.271411392542134,1,3,4,2,5
13431,13431,0.652666451864674,1,3,4,3,1
13432,13432,0.59164698382856,1,3,4,3,2
13433,13433,0.539385520641099,1,3,4,3,3
13434,13434,0.307038763696447,1,3,4,3,4
13435,13435,0.213961212030308,1,3,4,3,5
13441,13441,0.397251423013923,1,3,4,4,1
13442,13442,0.336231954977809,1,3,4,4,2
13443,13443,0.283970491790348,1,3,4,4,3
13444,13444,0.0516237348456961,1,3,4,4,4
13445,13445,-0.0414538168204428,1,3,4,4,5
13451,13451,0.294932777138323,1,3,4,5,1
13452,13452,0.233913309102208,1,3,4,5,2
13453,13453,0.181651845914748,1,3,4,5,3
13454,13454,-0.0506949110299046,1,3,4,5,4
13455,13455,-0.143772462696044,1,3,4,5,5
13511,13511,0.738845605017574,1,3,5,1,1
13512,13512,0.677826136981459,1,3,5,1,2
13513,13513,0.625564673793999,1,3,5,1,3
13514,13514,0.393217916849347,1,3,5,1,4
13515,13515,0.300140365183208,1,3,5,1,5
13521,13521,0.671767891543767,1,3,5,2,1
13522,13522,0.610748423507652,1,3,5,2,2
13523,13523,0.558486960320192,1,3,5,2,3
13524,13524,0.32614020337554,1,3,5,2,4
13525,13525,0.233062651709401,1,3,5,2,5
13531,13531,0.614317711031941,1,3,5,3,1
13532,13532,0.553298242995826,1,3,5,3,2
13533,13533,0.501036779808366,1,3,5,3,3
13534,13534,0.268690022863713,1,3,5,3,4
13535,13535,0.175612471197574,1,3,5,3,5
13541,13541,0.35890268218119,1,3,5,4,1
13542,13542,0.297883214145076,1,3,5,4,2
13543,13543,0.245621750957615,1,3,5,4,3
13544,13544,0.0132749940129627,1,3,5,4,4
13545,13545,-0.0798025576531762,1,3,5,4,5
13551,13551,0.25658403630559,1,3,5,5,1
13552,13552,0.195564568269475,1,3,5,5,2
13553,13553,0.143303105082015,1,3,5,5,3
13554,13554,-0.0890436518626379,1,3,5,5,4
13555,13555,-0.182121203528777,1,3,5,5,5
14111,14111,0.831966889688437,1,4,1,1,1
14112,14112,0.770947421652322,1,4,1,1,2
14113,14113,0.718685958464862,1,4,1,1,3
14114,14114,0.48633920152021,1,4,1,1,4
14115,14115,0.393261649854071,1,4,1,1,5
14121,14121,0.76488917621463,1,4,1,2,1
14122,14122,0.703869708178515,1,4,1,2,2
14123,14123,0.651608244991055,1,4,1,2,3
14124,14124,0.419261488046403,1,4,1,2,4
14125,14125,0.326183936380263,1,4,1,2,5
14131,14131,0.707438995702804,1,4,1,3,1
14132,14132,0.646419527666689,1,4,1,3,2
14133,14133,0.594158064479229,1,4,1,3,3
14134,14134,0.361811307534576,1,4,1,3,4
14135,14135,0.268733755868437,1,4,1,3,5
14141,14141,0.452023966852053,1,4,1,4,1
14142,14142,0.391004498815938,1,4,1,4,2
14143,14143,0.338743035628478,1,4,1,4,3
14144,14144,0.106396278683826,1,4,1,4,4
14145,14145,0.0133187270176867,1,4,1,4,5
14151,14151,0.349705320976452,1,4,1,5,1
14152,14152,0.288685852940338,1,4,1,5,2
14153,14153,0.236424389752877,1,4,1,5,3
14154,14154,0.00407763280822504,1,4,1,5,4
14155,14155,-0.0889999188579138,1,4,1,5,5
14211,14211,0.806826351249462,1,4,2,1,1
14212,14212,0.745806883213348,1,4,2,1,2
14213,14213,0.693545420025887,1,4,2,1,3
14214,14214,0.461198663081235,1,4,2,1,4
14215,14215,0.368121111415096,1,4,2,1,5
14221,14221,0.739748637775655,1,4,2,2,1
14222,14222,0.678729169739541,1,4,2,2,2
14223,14223,0.62646770655208,1,4,2,2,3
14224,14224,0.394120949607428,1,4,2,2,4
14225,14225,0.301043397941289,1,4,2,2,5
14231,14231,0.682298457263829,1,4,2,3,1
14232,14232,0.621278989227715,1,4,2,3,2
14233,14233,0.569017526040254,1,4,2,3,3
14234,14234,0.336670769095602,1,4,2,3,4
14235,14235,0.243593217429463,1,4,2,3,5
14241,14241,0.426883428413078,1,4,2,4,1
14242,14242,0.365863960376964,1,4,2,4,2
14243,14243,0.313602497189503,1,4,2,4,3
14244,14244,0.081255740244851,1,4,2,4,4
14245,14245,-0.0118218114212879,1,4,2,4,5
14251,14251,0.324564782537478,1,4,2,5,1
14252,14252,0.263545314501363,1,4,2,5,2
14253,14253,0.211283851313903,1,4,2,5,3
14254,14254,-0.0210629056307495,1,4,2,5,4
14255,14255,-0.114140457296888,1,4,2,5,5
14311,14311,0.78529418509941,1,4,3,1,1
14312,14312,0.724274717063296,1,4,3,1,2
14313,14313,0.672013253875835,1,4,3,1,3
14314,14314,0.439666496931183,1,4,3,1,4
14315,14315,0.346588945265044,1,4,3,1,5
14321,14321,0.718216471625603,1,4,3,2,1
14322,14322,0.657197003589489,1,4,3,2,2
14323,14323,0.604935540402028,1,4,3,2,3
14324,14324,0.372588783457376,1,4,3,2,4
14325,14325,0.279511231791237,1,4,3,2,5
14331,14331,0.660766291113777,1,4,3,3,1
14332,14332,0.599746823077663,1,4,3,3,2
14333,14333,0.547485359890202,1,4,3,3,3
14334,14334,0.31513860294555,1,4,3,3,4
14335,14335,0.222061051279411,1,4,3,3,5
14341,14341,0.405351262263026,1,4,3,4,1
14342,14342,0.344331794226912,1,4,3,4,2
14343,14343,0.292070331039451,1,4,3,4,3
14344,14344,0.059723574094799,1,4,3,4,4
14345,14345,-0.03335397757134,1,4,3,4,5
14351,14351,0.303032616387426,1,4,3,5,1
14352,14352,0.242013148351311,1,4,3,5,2
14353,14353,0.189751685163851,1,4,3,5,3
14354,14354,-0.0425950717808015,1,4,3,5,4
14355,14355,-0.135672623446941,1,4,3,5,5
14411,14411,0.689565350317027,1,4,4,1,1
14412,14412,0.628545882280913,1,4,4,1,2
14413,14413,0.576284419093452,1,4,4,1,3
14414,14414,0.3439376621488,1,4,4,1,4
14415,14415,0.250860110482661,1,4,4,1,5
14421,14421,0.62248763684322,1,4,4,2,1
14422,14422,0.561468168807106,1,4,4,2,2
14423,14423,0.509206705619645,1,4,4,2,3
14424,14424,0.276859948674993,1,4,4,2,4
14425,14425,0.183782397008854,1,4,4,2,5
14431,14431,0.565037456331394,1,4,4,3,1
14432,14432,0.50401798829528,1,4,4,3,2
14433,14433,0.451756525107819,1,4,4,3,3
14434,14434,0.219409768163167,1,4,4,3,4
14435,14435,0.126332216497028,1,4,4,3,5
14441,14441,0.309622427480643,1,4,4,4,1
14442,14442,0.248602959444529,1,4,4,4,2
14443,14443,0.196341496257068,1,4,4,4,3
14444,14444,-0.036005260687584,1,4,4,4,4
14445,14445,-0.129082812353723,1,4,4,4,5
14451,14451,0.207303781605043,1,4,4,5,1
14452,14452,0.146284313568928,1,4,4,5,2
14453,14453,0.0940228503814676,1,4,4,5,3
14454,14454,-0.138323906563185,1,4,4,5,4
14455,14455,-0.231401458229324,1,4,4,5,5
14511,14511,0.651216609484294,1,4,5,1,1
14512,14512,0.590197141448179,1,4,5,1,2
14513,14513,0.537935678260719,1,4,5,1,3
14514,14514,0.305588921316066,1,4,5,1,4
14515,14515,0.212511369649927,1,4,5,1,5
14521,14521,0.584138896010487,1,4,5,2,1
14522,14522,0.523119427974372,1,4,5,2,2
14523,14523,0.470857964786912,1,4,5,2,3
14524,14524,0.238511207842259,1,4,5,2,4
14525,14525,0.14543365617612,1,4,5,2,5
14531,14531,0.526688715498661,1,4,5,3,1
14532,14532,0.465669247462546,1,4,5,3,2
14533,14533,0.413407784275086,1,4,5,3,3
14534,14534,0.181061027330433,1,4,5,3,4
14535,14535,0.0879834756642943,1,4,5,3,5
14541,14541,0.27127368664791,1,4,5,4,1
14542,14542,0.210254218611795,1,4,5,4,2
14543,14543,0.157992755424335,1,4,5,4,3
14544,14544,-0.0743540015203175,1,4,5,4,4
14545,14545,-0.167431553186457,1,4,5,4,5
14551,14551,0.16895504077231,1,4,5,5,1
14552,14552,0.107935572736195,1,4,5,5,2
14553,14553,0.0556741095487344,1,4,5,5,3
14554,14554,-0.176672647395918,1,4,5,5,4
14555,14555,-0.269750199062057,1,4,5,5,5
15111,15111,0.796862924965815,1,5,1,1,1
15112,15112,0.7358434569297,1,5,1,1,2
15113,15113,0.68358199374224,1,5,1,1,3
15114,15114,0.451235236797587,1,5,1,1,4
15115,15115,0.358157685131448,1,5,1,1,5
15121,15121,0.729785211492008,1,5,1,2,1
15122,15122,0.668765743455893,1,5,1,2,2
15123,15123,0.616504280268433,1,5,1,2,3
15124,15124,0.38415752332378,1,5,1,2,4
15125,15125,0.291079971657641,1,5,1,2,5
15131,15131,0.672335030980182,1,5,1,3,1
15132,15132,0.611315562944067,1,5,1,3,2
15133,15133,0.559054099756606,1,5,1,3,3
15134,15134,0.326707342811954,1,5,1,3,4
15135,15135,0.233629791145815,1,5,1,3,5
15141,15141,0.416920002129431,1,5,1,4,1
15142,15142,0.355900534093316,1,5,1,4,2
15143,15143,0.303639070905856,1,5,1,4,3
15144,15144,0.0712923139612035,1,5,1,4,4
15145,15145,-0.0217852377049355,1,5,1,4,5
15151,15151,0.31460135625383,1,5,1,5,1
15152,15152,0.253581888217716,1,5,1,5,2
15153,15153,0.201320425030255,1,5,1,5,3
15154,15154,-0.0310263319143971,1,5,1,5,4
15155,15155,-0.124103883580536,1,5,1,5,5
15211,15211,0.77172238652684,1,5,2,1,1
15212,15212,0.710702918490726,1,5,2,1,2
15213,15213,0.658441455303265,1,5,2,1,3
15214,15214,0.426094698358613,1,5,2,1,4
15215,15215,0.333017146692474,1,5,2,1,5
15221,15221,0.704644673053033,1,5,2,2,1
15222,15222,0.643625205016919,1,5,2,2,2
15223,15223,0.591363741829458,1,5,2,2,3
15224,15224,0.359016984884806,1,5,2,2,4
15225,15225,0.265939433218667,1,5,2,2,5
15231,15231,0.647194492541207,1,5,2,3,1
15232,15232,0.586175024505092,1,5,2,3,2
15233,15233,0.533913561317632,1,5,2,3,3
15234,15234,0.30156680437298,1,5,2,3,4
15235,15235,0.208489252706841,1,5,2,3,5
15241,15241,0.391779463690456,1,5,2,4,1
15242,15242,0.330759995654342,1,5,2,4,2
15243,15243,0.278498532466881,1,5,2,4,3
15244,15244,0.0461517755222289,1,5,2,4,4
15245,15245,-0.0469257761439101,1,5,2,4,5
15251,15251,0.289460817814856,1,5,2,5,1
15252,15252,0.228441349778741,1,5,2,5,2
15253,15253,0.176179886591281,1,5,2,5,3
15254,15254,-0.0561668703533715,1,5,2,5,4
15255,15255,-0.149244422019511,1,5,2,5,5
15311,15311,0.750190220376788,1,5,3,1,1
15312,15312,0.689170752340674,1,5,3,1,2
15313,15313,0.636909289153213,1,5,3,1,3
15314,15314,0.404562532208561,1,5,3,1,4
15315,15315,0.311484980542422,1,5,3,1,5
15321,15321,0.683112506902981,1,5,3,2,1
15322,15322,0.622093038866867,1,5,3,2,2
15323,15323,0.569831575679406,1,5,3,2,3
15324,15324,0.337484818734754,1,5,3,2,4
15325,15325,0.244407267068615,1,5,3,2,5
15331,15331,0.625662326391155,1,5,3,3,1
15332,15332,0.564642858355041,1,5,3,3,2
15333,15333,0.51238139516758,1,5,3,3,3
15334,15334,0.280034638222928,1,5,3,3,4
15335,15335,0.186957086556789,1,5,3,3,5
15341,15341,0.370247297540404,1,5,3,4,1
15342,15342,0.30922782950429,1,5,3,4,2
15343,15343,0.256966366316829,1,5,3,4,3
15344,15344,0.0246196093721769,1,5,3,4,4
15345,15345,-0.0684579422939622,1,5,3,4,5
15351,15351,0.267928651664804,1,5,3,5,1
15352,15352,0.206909183628689,1,5,3,5,2
